TRANSACTION_NUMBER,INSTANCE_DATE,GROUP_EN,PROCEDURE_EN,IS_OFFPLAN_EN,IS_FREE_HOLD_EN,USAGE_EN,AREA_EN,PROP_TYPE_EN,PROP_SB_TYPE_EN,TRANS_VALUE,PROCEDURE_AREA,ACTUAL_AREA,ROOMS_EN,PARKING,NEAREST_METRO_EN,NEAREST_MALL_EN,NEAREST_LANDMARK_EN,TOTAL_BUYER,TOTAL_SELLER,MASTER_PROJECT_EN,PROJECT_EN
"102-114213-2025","2025-12-19 13:40:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","30000000","494.61","494.61","3 B/R","2  0","Business Bay Metro Station","Dubai Mall","Burj Khalifa","0","0","","CASA CANAL"
"102-125677-2025","2025-12-19 19:41:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Office","2949000","62.25","62.25","NA","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","HQ by ROVE"
"102-127039-2025","2025-12-19 11:25:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2524000","114.93","114.93","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","AMAAL 8"
"102-127207-2025","2025-12-19 19:40:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Office","3019000","62.25","62.25","NA","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","0","","HQ by ROVE"
"102-127359-2025","2025-12-19 11:22:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1418689","94.46","94.46","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127375-2025","2025-12-19 11:22:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1463886","100.66","100.66","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127588-2025","2025-12-19 11:23:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1085176","72.26","72.26","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127608-2025","2025-12-19 11:22:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1391846","100.18","100.18","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127616-2025","2025-12-19 11:22:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1029846","70.37","70.37","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-127848-2025","2025-12-19 11:25:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","HORIZON","Unit","Flat","2652888","83.92","83.92","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","AMAAL 8"
"102-128076-2025","2025-12-19 11:18:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1147676","72.77","72.77","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128090-2025","2025-12-19 11:18:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1799032","118.62","118.62","3 B/R","2","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128117-2025","2025-12-19 11:19:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","665660","40.19","40.19","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128126-2025","2025-12-19 13:39:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","905709","69.1","69.1","1 B/R","1","","","IMG World Adventures","0","0","","Jade Tower"
"102-128158-2025","2025-12-19 13:39:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI INDUSTRIAL CITY","Unit","Flat","844015.38","55.05","55.05","1 B/R","1","","","Dubai Parks and Resorts","0","0","","Samana Hills South"
"102-128162-2025","2025-12-19 13:48:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4078000","130.89","130.89","2 B/R","1","","","","0","0","","Kanyon By Beyond"
"102-128163-2025","2025-12-19 13:39:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI INDUSTRIAL CITY","Unit","Flat","1260346.38","82.22","82.22","2 B/R","1","","","Dubai Parks and Resorts","0","0","","Samana Hills South"
"102-128170-2025","2025-12-19 13:38:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","968000.4","40.77","40.77","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Samana Imperial Garden"
"102-128235-2025","2025-12-18 16:10:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","3090000","135.83","135.83","2 B/R","1","","","","0","0","","DISTRIKT"
"102-128242-2025","2025-12-19 11:19:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1073562","67.39","67.39","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128262-2025","2025-12-19 11:19:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1086962","66.66","66.66","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128268-2025","2025-12-19 13:34:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1693510.72","147.65","147.65","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128271-2025","2025-12-19 13:32:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1066626.71","75.29","75.29","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128275-2025","2025-12-19 13:32:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1110542.65","65.41","65.41","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128287-2025","2025-12-19 11:19:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","690000","40.36","40.36","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128292-2025","2025-12-19 13:37:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","759050","53.57","53.57","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Seslia Tower"
"102-128297-2025","2025-12-19 11:20:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1021436","67.39","67.39","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128319-2025","2025-12-19 11:21:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1010372","66.66","66.66","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128328-2025","2025-12-19 11:20:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1429858","102.2","102.2","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128335-2025","2025-12-19 11:20:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1083021","65.84","65.84","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128370-2025","2025-12-19 11:21:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1507081","102.2","102.2","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128377-2025","2025-12-19 11:20:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1835649","119.21","119.21","3 B/R","2","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Allura Residences by Citi Developers"
"102-128516-2025","2025-12-18 16:09:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","4455828","156.6","156.6","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","ONE RIVER POINT"
"102-128546-2025","2025-12-19 13:36:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1501777","71.98","71.98","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Bond Enclave"
"102-128549-2025","2025-12-19 09:38:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1277848","46.55","46.55","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-128561-2025","2025-12-18 16:10:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1304160","48.42","48.42","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-128566-2025","2025-12-19 13:36:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","3349700","111.41","111.41","2 B/R","1","","","","0","0","","Bayz 102 By Danube "
"102-128575-2025","2025-12-18 16:10:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1269450","46.41","46.41","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-128581-2025","2025-12-18 16:10:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1269450","46.52","46.52","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-128589-2025","2025-12-19 09:10:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1277848","46.54","46.54","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","DG1 Living "
"102-128609-2025","2025-12-19 13:35:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1508777","71.98","71.98","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","Bond Enclave"
"102-128665-2025","2025-12-19 11:12:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2875734","135.79","135.79","2 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128667-2025","2025-12-18 16:11:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","5199000","211.87","211.87","2 B/R","2","","","","0","0","","CAPRIA WEST"
"102-128674-2025","2025-12-19 13:34:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1474277.4","104.82","104.82","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128678-2025","2025-12-19 13:34:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1544000.4","104.82","104.82","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128680-2025","2025-12-19 13:32:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","773351.21","38.74","38.74","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128686-2025","2025-12-19 13:31:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","776416","38.74","38.74","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128687-2025","2025-12-19 11:11:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","1970954","75.43","75.43","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128691-2025","2025-12-19 13:35:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","1385133.07","104.82","104.82","2 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","0","0","","Samana Sky Views"
"102-128698-2025","2025-12-19 11:11:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2813750","151.94","151.94","3 B/R","2","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128700-2025","2025-12-18 16:10:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","6832000","270.19","270.19","3 B/R","3","","","","0","0","","CAPRIA WEST"
"102-128741-2025","2025-12-19 11:11:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","1931263","67.55","67.55","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128761-2025","2025-12-19 11:11:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","1925933","73.53","73.53","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128775-2025","2025-12-19 11:11:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2056379","75.43","75.43","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128786-2025","2025-12-18 16:09:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","5797000","223.7","223.7","2 B/R","1","","","","0","0","","CAPRIA EAST "
"102-128787-2025","2025-12-19 11:11:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","1926848","67.95","67.95","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128794-2025","2025-12-19 09:38:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","6947000","273.83","273.83","3 B/R","2","","","","0","0","","CAPRIA EAST "
"102-128823-2025","2025-12-19 11:11:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2016403","69.38","69.38","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 1"
"102-128842-2025","2025-12-19 13:33:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1235794","95.08","95.08","2 B/R","1","Harbour Tower","Ibn-e-Battuta Mall","Sports City Swimming Academy","0","0","","ALTAI TOWER"
"102-128909-2025","2025-12-19 11:14:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2011413","66.22","66.22","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 2"
"102-128931-2025","2025-12-19 11:13:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2095000","69.38","69.38","1 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 2"
"102-128965-2025","2025-12-19 11:22:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1034959","70.37","70.37","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","Aveline Residences by Citi Developers"
"102-129088-2025","2025-12-19 20:19:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","671300","43.33","43.33","Studio","1","","","IMG World Adventures","0","0","","THE BOULEVARD BY PRESTIGE ONE "
"102-129181-2025","2025-12-19 15:21:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","4022000","185.26","185.26","3 B/R","2","","","","0","0","","CAPRIA WEST"
"102-129193-2025","2025-12-18 16:11:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","7180000","335.1","335.1","3 B/R","2","","","","0","0","","CAPRIA EAST "
"102-129207-2025","2025-12-18 16:10:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","6201000","258.43","258.43","3 B/R","3","","","","0","0","","CAPRIA WEST"
"102-129214-2025","2025-12-19 11:14:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Deira","Unit","Flat","2691466","113.6","113.6","2 B/R","1","","","","0","0","","Agua Residences by Citi Developers - Tower 2"
"102-129320-2025","2025-12-18 17:55:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","2996000","73.66","73.66","1 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-129378-2025","2025-12-19 10:57:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","4303000","135.71","135.71","2 B/R","1","","","","0","0","","Talea"
"102-129435-2025","2025-12-18 18:00:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2002000","69.8","69.8","1 B/R","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","0","0","","Diamondz By Danube "
"102-129445-2025","2025-12-18 17:57:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1517760","43.33","43.33","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-129504-2025","2025-12-18 17:58:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","6443000","164.36","164.36","3 B/R","2","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-129565-2025","2025-12-19 12:20:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2750523","168","168","3 B/R","","","","","0","0","","Haven By Aldar 1"
"102-129821-2025","2025-12-18 17:04:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1130000","65.13","65.13","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Empire Livings"
"102-129829-2025","2025-12-19 10:38:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","796943.6","50.46","50.46","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","0","0","","The central downtown "
"102-129842-2025","2025-12-18 21:36:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1299000","78.7","78.7","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","0","0","","Sportz By Danube "
"102-129894-2025","2025-12-19 15:03:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","6718000","271.54","271.54","3 B/R","2","","","","0","0","","CAPRIA EAST "
"102-129897-2025","2025-12-19 15:03:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Unit","Flat","6034000","258.54","258.54","2 B/R","1","","","","0","0","","CAPRIA EAST "
"102-129966-2025","2025-12-19 14:51:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1550400","44.35","44.35","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Breez by Danube"
"102-129975-2025","2025-12-18 16:17:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI PRODUCTION CITY","Unit","Flat","565000","34.92","34.92","Studio","1","","","","0","0","","Binghatti Elite"
"102-129982-2025","2025-12-19 16:23:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","4090500","369.6","369.6","4 B/R","","","","","0","0","","South Bay 6 Premium "
"102-129987-2025","2025-12-18 16:01:14","Sales","Sell - Pre registration","Off-Plan","Non Free Hold","Residential","SILICON OASIS","Unit","Flat","630000","44.89","44.89","Studio","1","","","IMG World Adventures","0","0","","TRIA BY DEYAAR"
"102-129991-2025","2025-12-18 15:15:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS PARK","Unit","Flat","2374897","79.94","79.94","1 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","0","0","","TONINO LAMBORGHINI RESIDENCES"
"102-129992-2025","2025-12-18 15:15:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","33984000","453.86","453.86","3 B/R","5","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Bugatti Residences by Binghatti"
"102-129993-2025","2025-12-18 15:18:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DAMAC HILLS","Unit","Flat","1302000","62.65","62.65","1 B/R","1","","","Motor City","0","0","","DAMAC HILLS - GOLF GREENS 2"
"102-129994-2025","2025-12-19 11:40:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Bukadra","Unit","Flat","1663628","70.25","70.25","1 B/R","1","","","","0","0","","340 Riverside Crescent"
"102-129995-2025","2025-12-18 15:19:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1333377","36.62","36.62","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Rove Home Marasi Drive"
"102-129996-2025","2025-12-18 15:20:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Jadaf","Unit","Flat","1862498.75","81.12","81.12","1 B/R","1","","","","0","0","","Binghatti Ghost"
"102-129997-2025","2025-12-18 15:22:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","702999","35.63","35.63","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-129998-2025","2025-12-18 15:24:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","INTERNATIONAL CITY PH 2 & 3","Unit","Flat","540000","36.28","36.28","Studio","1  0","Rashidiya Metro Station","City Centre Mirdif","","0","0","","Elevia Residences"
"102-129999-2025","2025-12-18 15:25:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","816777","39.87","39.87","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","butterfly"
"102-130000-2025","2025-12-18 15:25:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","1200000","127.61","127.61","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","0","0","","Binghatti Hillside"
"102-130001-2025","2025-12-18 15:26:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1290000","38.02","38.02","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Franck Muller Yachting"
"102-130002-2025","2025-12-18 15:26:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1954683.34","123.53","123.53","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","0","","PARK LANE 2 BY HEILBRONN"
"102-130003-2025","2025-12-18 15:27:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1276323.09","36.62","36.62","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","0","0","","Rove Home Marasi Drive"
"102-130004-2025","2025-12-18 15:28:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","687999","34.81","34.81","Studio","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130005-2025","2025-12-18 15:29:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","834736","65.72","65.72","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","0","0","","THE HAVEN GARDEN"
"102-130006-2025","2025-12-18 15:29:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3240000","153.72","153.72","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Franck Muller Yachting"
"102-130007-2025","2025-12-18 15:31:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","2848000","135.78","135.78","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Franck Muller Yachting"
"102-130008-2025","2025-12-18 15:32:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3132888","158.15","158.15","3 B/R","","","","","0","0","","The Valley - Vindera"
"102-130009-2025","2025-12-18 15:33:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Dubai Investment Park Second","Building","Villa","3610888","148.72","148.72","3 B/R","","","","","0","0","","Grand Polo - Equiterra "
"102-130010-2025","2025-12-18 15:34:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3027000","153.74","153.74","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Franck Muller Yachting"
"102-130011-2025","2025-12-18 15:35:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MAJAN","Unit","Flat","1234999","97.84","97.84","1 B/R","1","","","IMG World Adventures","0","0","","Binghatti Titania"
"102-130012-2025","2025-12-18 15:37:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1380000","38.07","38.07","Studio","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","0","0","","Franck Muller Yachting"
